Datetime,173,176,213,248,55N,59U,59V,59Z,61O,61P,62A,62B,62R,63Z,64A,65U,65Z,66K,67M,67X,68J,68K,691,AF4,C02,C23,CZ7,F0F,F0G,F15,F79,F80,FK0,FL0,H23,H28,J80,J81,K35,L50,L51,M74,M75,O32,O54,P31,S71,SE6,SI8,T06,T32,UF4,UN8,UW4,UW8,V09,V55,Y52
2014/2/21 00:00,12.844,9.71,13.34,10.32,7195.646489,346.0731467,567.061445,4796.692362,1350.551595,383.8661142,991.5595998,989.99025,1109.175834,371.4548838,468.94275,1125.611649,24690.1988,292.7259027,335.2821087,8580.850994,416.1389001,569.400708,1674.282733,1107.950823,25589.95859,25601.77312,11.75,416.1389001,569.400708,4796.692362,1350.551595,383.8661142,11.32,12.64,14.31,9.18,1381.556831,917.998158,10.29,1167.863882,1165.895886,1586.06859,1330.489383,33.61940274,33.69852808,10.9,1125.539841,573.566465,530.5451805,6632.384705,1402.530961,22.8,9.55,8.36,7.3,22818.02971,7037.276608,658.1013285
2014/2/24 00:00,12.719,9.58,13.3,10.16,7116.065623,342.4766318,562.457624,4776.90398,1338.75016,381.055094,987.328243,988.72646,1098.06418,368.156294,465.70146,1118.464906,24445.88218,289.04833,331.0364032,8495.282549,414.0997654,567.37752,1660.962983,1099.494208,25275.29876,25304.36792,11.62,414.0997654,567.37752,4776.90398,1338.75016,381.055094,11.28,12.61,14.3,9.1,1363.395333,909.1330632,10.21,1162.887071,1164.46286,1577.86182,1320.190215,33.22534488,33.20991606,10.79,1118.6285,567.7487298,525.1643042,6599.429766,1393.821473,22.73,9.32,8.31,7.24,22665.64873,6943.245148,650.5108732
2014/2/25 00:00,12.663,9.49,13.15,9.85,7061.500652,340.4880126,561.5817555,4752.056109,1320.116931,375.6259825,973.2137943,973.9845394,1091.200385,365.4492286,462.5276516,1112.765538,24393.58399,287.3124135,328.0530097,8476.780318,412.5745451,565.4045072,1648.16994,1094.870079,25122.96228,25138.33604,11.3,412.5745451,565.4045072,4752.056109,1320.116931,375.6259825,11.18,12.45,14.29,9.02,1348.088086,905.7181797,10.15,1146.209311,1147.11876,1566.153757,1317.380622,33.07893184,33.04456375,10.75,1112.527872,564.1782085,521.8596742,6565.316674,1377.883448,22.53,9.13,8.07,7.07,22480.29614,6871.17518,646.0728875
2014/2/26 00:00,12.689,9.59,13.24,9.89,7130.46145,343.0622133,564.6883552,4774.279939,1324.536405,378.621496,978.2265889,981.781131,1098.59429,368.4663602,465.6685874,1114.50451,24589.21101,289.2491279,330.830587,8544.534574,416.1181053,572.3929906,1665.989993,1107.062339,25331.30348,25319.94777,11.32,416.1181053,572.3929906,4774.279939,1324.536405,378.621496,11.32,12.61,14.46,9.11,1363.68975,915.3991288,10.25,1152.443797,1156.875855,1580.855222,1324.536405,33.32587014,33.37847773,10.82,1114.449028,567.9784502,525.377183,6600.828996,1389.184951,22.85,9.14,8.1,7.11,22673.73227,6948.35287,650.7346592
2014/2/27 00:00,12.869,9.77,13.37,9.81,7244.867492,348.7493725,572.6678414,4848.126287,1340.900051,379.5650015,1000.286545,996.1715799,1117.871063,374.9177185,471.3471021,1125.663887,25015.05662,294.1662099,335.7562726,8692.323104,422.8829003,576.229087,1698.513875,1124.819942,25719.35549,25704.37737,11.24,422.8829003,576.229087,4848.126287,1340.900051,379.5650015,11.67,12.85,14.61,9.22,1385.829462,928.6423489,10.39,1178.182725,1173.600392,1602.248505,1338.471434,33.75777352,33.71342247,11,1125.80057,577.9197253,534.5719512,6724.536342,1410.722784,23.17,9.18,8.03,7.08,22958.92892,7042.381566,661.4945009
2014/3/3 00:00,12.712,9.65,13.47,9.95,7192.847379,343.4247516,566.2499552,4789.360039,1324.742453,377.1124983,984.5976694,987.336916,1110.566646,370.514854,469.8217613,1121.566685,24772.2587,290.6415699,334.07077,8607.181539,417.5884625,572.3207208,1692.2203,1112.391887,25410.63757,25434.38466,11.44,417.5884625,572.3207208,4789.360039,1324.742453,377.1124983,11.7,12.98,14.71,9.29,1368.475354,920.213121,10.33,1160.136674,1163.467781,1610.697935,1338.408985,33.49818721,33.5860329,10.82,1121.299862,574.0489891,530.9933409,6682.933904,1400.971329,23.2,9.17,8.17,7.17,22812.78178,6997.871529,654.1713078
2014/3/4 00:00,12.753,9.74,13.51,9.94,7218.834162,343.8220033,566.2110697,4860.9632,1343.144894,382.607572,997.1050764,997.7797116,1115.925246,372.167495,470.8951989,1128.047273,25049.75861,291.0501716,334.4950302,8703.250799,424.1190392,581.6203344,1704.071412,1118.929928,25523.39871,25507.72857,11.53,424.1190392,581.6203344,4860.9632,1343.144894,382.607572,11.94,13.12,15.01,9.43,1380.209739,925.102059,10.38,1174.834043,1175.77559,1618.676132,1339.499172,33.47988404,33.48139962,10.83,1127.838287,576.7958171,533.5302065,6746.105491,1410.590759,23.44,9.16,8.24,7.23,22851.08419,7058.726187,655.3186014
2014/3/5 00:00,12.704,9.69,13.64,9.86,7182.717355,341.7436389,566.6284972,4844.327628,1331.583039,378.9179952,986.7737543,986.5962106,1115.515707,370.9128046,469.1127375,1131.55723,24979.24727,289.8704815,331.7575249,8678.509746,422.5127856,578.7808708,1709.477018,1118.0866,25369.58595,25389.21533,11.54,422.5127856,578.7808708,4844.327628,1331.583039,378.9179952,12.04,13.27,15.09,9.48,1374.38067,926.0678943,10.4,1162.820748,1162.9826,1622.504588,1340.385389,33.35787007,33.37142188,10.77,1131.541983,576.5599759,533.3131213,6704.658708,1395.324192,23.6,9.13,8.21,7.24,22955.61743,7074.357395,652.587995
2014/3/6 00:00,12.802,9.74,13.81,9.87,7245.568772,342.4163496,570.239059,4918.52036,1342.737864,378.5443207,991.58826,981.7348863,1122.22319,373.589216,471.9319038,1134.413358,25161.17305,292.321432,333.5618,8741.441826,427.262342,579.7188201,1714.81089,1131.972292,25455.01067,25409.82914,11.57,427.262342,579.7188201,4918.52036,1342.737864,378.5443207,12.14,13.42,15.18,9.56,1380.945852,933.669802,10.47,1168.072776,1156.52448,1625.543224,1347.286434,33.6290942,33.59978522,10.8,1134.35282,580.0033226,536.4977667,6750.987594,1405.50813,24.01,9.18,8.26,7.27,23134.93673,7112.44729,657.723222
2014/3/7 00:00,12.812,9.73,13.71,9.84,7244.156857,341.6769235,570.2898469,4869.843158,1335.191596,379.7854294,988.5145228,988.1314126,1121.363965,373.6475802,476.6231484,1137.306868,25183.7863,292.7360604,331.2220642,8749.050517,421.5278054,577.0754698,1712.17261,1128.058106,25437.73331,25375.76948,11.53,421.5278054,577.0754698,4869.843158,1335.191596,379.7854294,12.07,13.27,15.03,9.5,1380.041428,933.0583126,10.41,1164.883454,1164.238202,1640.441048,1351.252685,33.69798128,33.7960785,10.76,1137.164593,579.535579,536.064577,6724.141247,1404.890658,23.87,9.13,8.22,7.22,23137.05819,7118.698545,658.5046162
