Datetime,51E,51G,57F,59D,59F,59I,67G,67H,68A,68P,696,69J,69K,69L,706,E78,E79
2014/3/17 00:00,483.7335298,400.4149291,557.4919928,378.8036928,340.6805006,504.9755474,356.0086949,327.3555951,7787.026233,7146.25632,34316.33646,290.2036945,266.0775667,27.6110255,3467.814255,3975.010546,2374.200709
2014/3/18 00:00,483.0891874,399.7078357,558.951152,378.3155355,340.0889537,506.281324,355.525443,326.9010868,7810.92437,7168.699309,34421.85184,289.7988162,265.7830904,27.40176704,3478.375851,3980.365622,2377.46245
2014/3/19 00:00,484.628741,400.7424949,559.964196,379.4969942,340.9628914,507.197361,356.5469835,327.8442513,7797.524862,7194.206729,34364.14072,290.6494063,267.9541519,27.608202,3472.634911,3978.81353,2376.574054
2014/3/20 00:00,485.3038454,401.0907041,558.0294619,380.0450662,341.257466,505.3995415,357.0416945,328.3180695,7826.958393,7149.93673,34495.26885,291.0599489,265.6582269,27.29885439,3485.989676,3979.705659,2377.117039
2014/3/21 00:00,486.3217438,401.8400088,557.0031816,380.8115363,341.8812738,504.48598,357.7599163,328.976045,7877.400675,7233.971884,34718.13071,291.6397775,267.5849176,27.23345364,3508.321688,3993.57055,2385.474825
2014/3/24 00:00,487.1286508,402.4239391,559.2326684,381.4468142,342.4018007,506.5267886,358.3566651,329.5092904,7880.968019,7256.464986,34736.58766,292.1179481,268.7290715,27.41902782,3510.37639,3995.759499,2386.492472
2014/3/25 00:00,487.6603311,402.933712,560.5172246,381.8975041,342.8258864,507.7038201,358.80973,329.9040819,7881.688386,7297.713646,34740.05727,292.4859653,270.5585388,27.55029033,3510.627714,3996.573303,2387.165604
2014/3/26 00:00,487.6635616,402.8205695,559.7895453,381.8852858,342.7081466,507.0462462,358.7156808,329.8225406,7897.866406,7362.625332,34812.86711,292.4206156,272.3912006,27.75238421,3517.984672,4002.189626,2390.417634
2014/3/27 00:00,488.490523,403.5582551,557.6561771,382.5163393,343.3380047,505.0772864,359.3335308,330.4008965,7901.728745,7390.429813,34830.18171,292.935276,273.7395083,27.85908846,3519.627434,4002.857478,2390.765351
2014/3/28 00:00,489.0204646,403.8605024,555.0534066,382.9295465,343.6343504,502.7199194,359.6457678,330.7091032,7885.62305,7405.78564,34760.97043,293.1861633,275.0809463,28.1330903,3512.733854,3995.215305,2386.434534
2014/3/31 00:00,487.528725,402.581925,555.5238827,381.7724,342.533325,503.1365617,358.5523875,329.6875625,7878.93775,7367.287127,34734.2095,292.30975,273.0503433,28.14116875,3510.158,3992.86575,2384.857
2014/4/1 00:00,486.250169,401.3937925,555.8109683,379.723154,340.8560117,502.4628531,357.5959712,328.0118973,7855.910812,7363.152577,34633.15003,290.6970058,271.7159388,27.9648963,3499.868987,3982.588547,2366.72591
2014/4/2 00:00,484.866341,400.0861156,554.6886752,378.6404549,339.7284274,501.4700745,356.4961394,327.0311381,7793.340962,7283.582807,34473.74776,289.8201829,270.5892437,27.771682,3472.009947,3966.839711,2357.200104
2014/4/3 00:00,483.9666655,399.2595863,553.5404978,377.9309029,339.0409957,500.4320569,355.7818854,326.3713931,7822.036413,7305.437733,34601.07962,289.2436848,269.8743697,27.62976269,3484.900278,3966.466707,2357.092969
2014/4/7 00:00,485.745624,400.4217672,552.4404603,379.318212,340.0219368,499.4051778,357.0018088,327.46896,7853.1908,7376.662601,34742.9406,290.2042052,272.2668322,27.97965898,3499.369692,3979.354288,2364.750388
2014/4/8 00:00,485.8827102,400.6390673,552.9817289,379.4189701,340.1875208,499.9001494,357.1393816,327.6249811,7846.592568,7397.232397,34715.59465,290.3308874,273.3330418,28.27754226,3496.624002,3981.568305,2365.995429
2014/4/9 00:00,484.6311704,399.5711156,552.4805997,378.4569176,339.3051619,499.4687807,356.1965203,326.7572956,7821.905465,7419.976891,34606.47215,289.566144,274.263891,28.20198758,3485.652458,3970.374118,2359.360811
2014/4/10 00:00,484.1181511,399.1180077,555.0335146,378.0562919,338.9158501,501.7355944,355.7893277,326.3812667,7843.455275,7501.933794,34703.31981,289.2294848,276.1846454,28.34566152,3495.22036,3983.04465,2366.806546
2014/4/11 00:00,486.0636782,400.784062,556.9296704,379.5696274,340.3349772,503.4939039,357.1196931,327.5882359,7846.327373,7461.184565,34716.33733,290.3123048,275.5818227,28.30183835,3496.464264,3984.637332,2367.940721
2014/4/14 00:00,488.2207312,402.6279092,556.9252932,381.2826134,341.887542,503.4859284,358.6674842,329.0078027,7867.222967,7481.687194,34811.57728,291.5779497,276.7880479,28.12470504,3506.252056,3989.695795,2370.960475
2014/4/15 00:00,487.7648935,402.3183532,555.2351598,380.9113643,341.6047463,501.9779949,358.3856486,328.7545058,7875.232096,7488.04503,34848.94516,291.352747,276.5017652,28.18635768,3510.080987,3992.947672,2372.910293
2014/4/16 00:00,487.5776978,402.1368339,556.5781897,380.7539665,341.4614377,503.1945073,358.2838348,328.6558788,7890.217638,7479.115735,34915.38337,291.2660628,275.5255339,28.14380694,3516.696428,3986.334262,2369.028408
2014/4/17 00:00,487.873746,402.285042,556.594371,380.978532,341.599266,503.1770396,358.43292,328.81536,7844.1201,7444.474325,34712.08254,291.400524,276.0129288,28.2277864,3496.08096,3985.67736,2368.49814
2014/4/22 00:00,487.5657218,401.6227554,556.9745722,380.7430996,341.0141754,503.5150526,358.1057949,328.4985036,7872.751499,7464.986289,34843.87264,291.133314,275.5036749,28.1646552,3509.539825,3992.590208,2372.522864
2014/4/23 00:00,488.268725,402.0483533,558.1726275,381.3045143,341.3938533,504.6078537,358.5590768,328.8990263,7897.822445,7425.64025,34956.70471,291.4751998,273.4651063,28.00948815,3520.690453,4002.893728,2378.86949
2014/4/24 00:00,489.16305,402.7563675,558.6851137,381.99573,341.98983,505.0476523,359.1741825,329.4728325,7896.619125,7424.40072,34951.51823,291.982455,273.9435129,28.1045853,3520.216125,4002.40845,2378.5326
2014/4/25 00:00,489.4332128,402.9235197,559.8439288,382.2133478,342.1271879,506.0918622,359.3806107,329.6646979,7905.645699,7431.169252,34993.21633,292.1559386,274.0419456,28.00409925,3524.367903,4010.738557,2383.337496
2014/4/28 00:00,489.490413,402.992169,560.2243722,382.2459165,342.176877,506.4697098,359.4704685,329.759412,7890.23898,7444.071799,34927.90613,292.2344385,275.0788083,28.01821269,3517.776975,4003.26957,2379.004575
2014/4/29 00:00,488.4646732,402.067503,559.617045,381.4664971,341.3837764,505.9149374,358.7176624,329.0413235,7874.968955,7389.992985,34860.77414,291.6207004,273.0426803,28.09178757,3511.246338,3996.474142,2374.712135
